,Pair_ID,QualID_A,File_A,QualID_B,File_B,What_matches,Style_match,Subject_match
,23,IM_0DO27Xu7YFyAWfY,paul-gauguin_stabble-near-dieppe-1885.jpg,IM_bDH0uNJkljTCJX8,paul-cezanne_dahlias-in-a-delft-vase.jpg,Style,1,0
,24,IM_3ejYHnsXheYTrb8,rudolf-von-alt_figures-on-the-riva-degli-schiavone-1840.jpg,IM_0CC3vr4G9EcW37U,paul-cezanne_the-black-marble-clock.jpg,Style,1,0
,25,IM_6xsz2GaIkPoQy4C,spyros-papaloukas_arsanas.jpg,IM_0Ncxg4Npb3c8T3M,chaim-soutine_old-house-near-chartres.jpg,"Style, subject",1,1
,26,IM_3w7XhvY9tVRKIgm,alfred-sisley_the-church-at-moret-winter-1894.jpg,IM_emrIVDVvfCU9KYK,adam-baltatu_sighi-oara.jpg,"Style, subject",1,1
,27,IM_9GEzSWFZxV22pRY,richard-parkes-bonington_piazza-san-marco-venice-1827.jpg,IM_3mjc3T3GuMEikia,thomas-cole_the-past-1838.jpg,"Style, subject",1,1
,28,IM_23mUPMfyAP4gbzw,alfred-sisley_road-along-the-seine-at-saint-mammes.jpg,IM_ag6SjzqePWGNgKG,paul-gauguin_the-queen-s-mill-1881.jpg,"Style, subject",1,1
,29,IM_2smfluy3lKiTxGe,anders-zorn_self-portrait-with-faun-and-nymph.jpg,IM_7PoEPLvofgLu11A,william-merritt-chase_my-daughter-dorothy.jpg,"Style, subject",1,1
,30,IM_7PTErOPUpAcUfSm,andrã©-lhote_acacias-1959.jpg,IM_ekz3M9pDANJhflI,paul-cezanne_mont-sainte-victoire-7.jpg,"Style, subject",1,1
,31,IM_9n6LmaMsPGoAbtk,billy-childish_erupting-volcano-sea-view-2011.jpg,IM_3lbM2FWQF0jCFhA,natalia-goncharova_haymaking.jpg,"Style, subject",1,1
,32,IM_aWt6yv0qHeDApLg,franz-xaver-winterhalter_study-of-a-girl-in-profile-1.jpg,IM_daPOyLVzCX92hAa,william-holman-hunt_self-portrait.jpg,"Style, subject",1,1
,33,IM_0Cis8Rf8XEtpEYS,amedeo-modigliani_adrienne-woman-with-bangs-1917.jpg,IM_1YwRSvnSysFDQx0,max-pechstein_self-portrait-with-pipe-and-hat-1918.jpg,"Style, subject",1,1
,34,IM_beBdfsSuEl84Veu,amadeo-de-souza-cardoso_head-1913-1.jpg,IM_3OAiYoch1XrCVL0,marevna-(marie-vorobieff)_self-portrait.jpg,"Style, subject",1,1
,35,IM_0TEejQztGTXrf3U,arshile-gorky_still-life-red-and-yellow.jpg,IM_2atpR5iG2mHNJ6m,maurice-de-vlaminck_the-table-still-life-with-almonds-1907.jpg,"Style, subject",1,1
,36,IM_1Y274E4UWgykiVg,chaim-soutine_flowers-and-fish-1919.jpg,IM_42dnyWkZJPB1VYi,martiros-saryan_fruits-and-vegetables-1934.jpg,"Style, subject",1,1
,37,IM_1X3cFCsHqzaqYrY,adam-baltatu_houses-in-hu-i-1.jpg,IM_dd4YDCL6j0GyIBM,margareta-sterian_landscape-in-apului.jpg,Subject,0,1
,38,IM_6XoKUokeiwFkf66,richard-parkes-bonington_the-doge-s-palace-venice-1827.jpg,IM_cvDGfOexXP26D30,alfred-sisley_pont-de-moret-dans-le-soleil-du-matin-1888.jpg,Subject,0,1
,39,IM_aVFAEIRij5pvHYW,abraham-manievich_untitled-1925.jpg,IM_24xgYcM5Gn7B7Ui,andre-derain_a-village.jpg,Subject,0,1
,40,IM_cA28rStAVxRCEya,andrã©-lhote_paysage-au-lambrequin-rose-1914.jpg,IM_d0BZZCpP24Qvvoi,thomas-moran_on-the-catawissa-creek-1862.jpg,Subject,0,1
,41,IM_3aZvjJKMzZ5E6wu,costas-niarchos_landscape.jpg,IM_3EFUHGVHYPB9M10,claude-monet_meadow-with-poplars.jpg,Subject,0,1
,42,IM_6WpjaFMCbCqlGXY,boris-grigoriev_kachalov-vasily-ivanovich-in-the-role-of-tsar-fedor-ivanovich-1923.jpg,IM_3TTqu1iplWFx0xw,paul-cezanne_portrait-of-victor-chocquet-1877.jpg,Subject,0,1
,43,IM_a3mvZbiaj9i60zs,alfred-sisley_road-from-versailles-to-saint-germain-1875.jpg,IM_6VUZXMVLdYYcdGC,lyonel-feininger_the-high-shore-1923.jpg,Subject,0,1
,44,IM_dgxDisILIdEdVKC,fã©lix-del-marle_self-portrait-1913.jpg,IM_b9JJIWR4ZqTFdbw,vasily-tropinin_portrait-of-a-young-man-in-a-green-robe-1839.jpg,Subject,0,1
,45,IM_0GlX6r961LtFnbU,joaquã­n-sorolla_benito-perez-galdos-1894.jpg,IM_9X0yOQrGM2WkDfE,marevna-(marie-vorobieff)_portrait-of-ossip-zadkine.jpg,Subject,0,1
,46,IM_6sP7V5MgT9YqJsq,theodore-gericault_portrait-of-young-boy-probably-olivier-bro.jpg,IM_86TarL7LlzRdWce,nicolae-tonitza_after-war.jpg,Subject,0,1
,47,IM_9yK7YjA51IhfcWi,david-bomberg_flowers-1943.jpg,IM_4YOowtA6kJwJFPM,paul-signac_still-life-with-a-book-1883.jpg,Subject,0,1
,48,IM_1ySvdwIHgRYLqPY,auguste-herbin_still-life-with-oranges-1911.jpg,IM_0jNgfYMsXgxXo7s,polychronis-lembesis_basket-with-fruits-1878.jpg,Subject,0,1
